stock_id,month_id,month_start_open_usd,month_end_close_usd,month_high_usd,month_low_usd,monthly_volume,intramonth_return,return_1m,return_3m,return_6m,intramonth_volatility,volatility_3m,volatility_6m,trading_days,avg_volume_3m,volume_ratio,price_range_ratio
US643,2021_04,14.593,15.7,16.078,14.129,103414100,0.075858,0.081608,0.328305,0.7928,0.329418,0.204156,0.185814,21,6663877.0,0.705,0.133529
US643,2021_05,15.932,16.37,16.687,15.52,86758500,0.027492,0.042646,0.187469,0.592386,0.257871,0.069926,0.15649,20,5642502.0,0.699,0.073276
US643,2021_06,16.421,14.953,16.696,14.269,102645700,-0.089398,-0.086573,0.030104,0.377084,0.314265,0.304961,0.287261,22,4436641.0,1.052,0.147794
US643,2021_07,15.039,13.369,15.126,12.85,135579200,-0.111045,-0.105903,-0.148478,0.13108,0.364471,0.279779,0.359498,21,4923991.0,1.252,0.151323
US643,2021_08,13.421,14.183,14.494,13.049,84108900,0.056777,0.060841,-0.133619,0.0288,0.230537,0.315938,0.282913,22,4883845.0,0.783,0.107673
US643,2021_09,14.234,14.235,14.69,12.82,88637600,7e-05,0.00372,-0.047976,-0.019317,0.325652,0.293543,0.272333,21,4671602.0,0.862,0.131376
US643,2021_10,14.305,14.83,15.162,13.982,84483700,0.0367,0.041743,0.109235,-0.055462,0.222224,0.10073,0.248216,21,3897427.0,0.985,0.082468
US643,2021_11,14.978,14.095,15.406,14.008,68307700,-0.058953,-0.049499,-0.006139,-0.138937,0.271857,0.158765,0.237743,21,3658015.0,0.849,0.093349
US643,2021_12,14.419,14.399,14.777,13.226,95412000,-0.001387,0.021548,0.011514,-0.037015,0.321515,0.166016,0.216119,22,3760658.0,1.153,0.107543
US643,2022_01,14.628,15.087,16.507,14.558,120389300,0.031378,0.047765,0.017361,0.128493,0.315216,0.174329,0.13859,20,4304682.0,1.271,0.133213
US643,2022_02,15.069,20.704,21.374,14.796,197290800,0.373947,0.372297,0.468826,0.45981,1.080496,0.676806,0.522254,19,6258971.0,1.433,0.436512
US643,2022_03,20.607,20.846,21.136,20.278,304286200,0.011598,0.006861,0.44771,0.464378,0.100457,0.693595,0.521273,23,9423732.0,1.468,0.041635
US643,2022_04,20.926,19.861,20.997,19.861,124532600,-0.050894,-0.047254,0.31642,0.339274,0.101138,0.790563,0.548737,20,9486509.0,0.597,0.054283
US643,2022_05,19.967,20.26,20.509,18.929,108576600,0.014674,0.020107,-0.021429,0.437351,0.1935,0.123624,0.524098,21,8142355.0,0.606,0.079111
US643,2022_06,20.278,19.528,20.438,18.295,94092900,-0.036986,-0.036144,-0.063226,0.356177,0.229141,0.125102,0.542968,21,4957608.0,0.863,0.105659
US643,2022_07,19.501,19.975,20.234,19.001,55579600,0.024306,0.022873,0.005726,0.323958,0.162914,0.115368,0.545516,20,3912865.0,0.646,0.063216
US643,2022_08,19.93,20.207,20.868,19.68,53365200,0.013899,0.011628,-0.002634,-0.024006,0.11807,0.108551,0.104716,23,3076329.0,0.789,0.059614
US643,2022_09,20.323,20.591,21.265,20.001,81349700,0.013187,0.019018,0.054446,-0.012222,0.125201,0.019795,0.108971,21,2883250.0,1.282,0.062203
US643,2022_10,20.771,22.039,22.057,20.6,105821400,0.061047,0.070306,0.103343,0.109661,0.084311,0.110707,0.117344,21,3644489.0,1.32,0.07013
US643,2022_11,22.021,22.344,22.407,21.805,147536200,0.014668,0.013872,0.105791,0.102878,0.0634,0.108089,0.117402,21,5071323.0,1.322,0.027358
US643,2022_12,22.237,22.166,22.264,21.931,100561700,-0.003193,-0.007991,0.076481,0.135092,0.050366,0.139951,0.090536,21,5362414.0,0.852,0.014962
US643,2023_01,22.166,22.374,22.428,22.048,84904400,0.009384,0.009388,0.015212,0.120127,0.042331,0.040004,0.092083,20,5045489.0,0.765,0.017143
US643,2023_02,22.365,22.41,22.528,22.284,60004300,0.002012,0.001618,0.002941,0.109043,0.037019,0.030157,0.09514,19,3719248.0,0.733,0.010922
US643,2023_03,18.8,16.241,20.7,12.123,343128300,-0.136117,-0.275263,-0.267276,-0.211237,0.865066,0.561693,0.424729,23,7394500.0,2.109,0.456208
US643,2023_04,16.305,16.031,17.347,15.492,89738500,-0.016805,-0.012936,-0.283481,-0.272582,0.257698,0.539796,0.391966,19,7467744.0,0.546,0.113726
US643,2023_05,16.114,9.418,16.278,8.212,461851200,-0.415539,-0.412535,-0.57975,-0.578514,1.257508,0.703333,0.629555,22,13556333.0,1.549,0.500567
US643,2023_06,9.509,10.431,11.199,9.363,236783600,0.096961,0.107624,-0.357728,-0.529392,0.435421,0.943165,0.695106,21,11945050.0,0.901,0.193084
US644,2020_01,15.339,14.939,15.489,14.78,23106800,-0.026077,-0.020776,0.00215,0.032266,0.173247,0.064831,0.106537,21,911211.0,1.153,0.046221
US644,2020_02,15.022,13.256,15.431,13.029,19790200,-0.117561,-0.112614,-0.120958,-0.047185,0.257891,0.223232,0.195044,19,1000276.0,0.899,0.159867
US644,2020_03,13.256,11.095,14.266,10.026,40739400,-0.163021,-0.163071,-0.272752,-0.221107,1.017461,0.249911,0.283873,22,1267218.0,1.461,0.319797
US644,2020_04,10.624,11.919,12.71,10.136,18523600,0.121894,0.074299,-0.202141,-0.200426,0.607852,0.43319,0.305566,21,1197776.0,0.703,0.24228
US644,2020_05,11.641,11.546,12.668,9.412,16775400,-0.008161,-0.031279,-0.129012,-0.234365,0.741668,0.411971,0.296348,20,1152097.0,0.662,0.279624
US644,2020_06,11.623,11.691,13.594,10.807,25673400,0.00585,0.012509,0.053714,-0.233688,0.576619,0.183749,0.296727,22,923824.0,1.263,0.239766
