month_id,5y_treasury
2020_01,1.33
2020_02,0.91
2020_03,0.38
2020_04,0.34
2020_05,0.3
2020_06,0.29
2020_07,0.22
2020_08,0.26
2020_09,0.27
2020_10,0.38
2020_11,0.36
2020_12,0.36
2021_01,0.44
2021_02,0.78
2021_03,0.94
2021_04,0.86
2021_05,0.79
2021_06,0.87
2021_07,0.7
2021_08,0.77
2021_09,1.0
2021_10,1.19
2021_11,1.15
2021_12,1.26
2022_01,1.61
2022_02,1.72
2022_03,2.42
2022_04,2.91
2022_05,2.81
2022_06,3.0
2022_07,2.69
2022_08,3.28
2022_09,4.04
2022_10,4.25
2022_11,3.83
2022_12,4.0
2023_01,3.64
2023_02,4.17
2023_03,3.61
2023_04,3.54
2023_05,3.74
2023_06,4.14
