month_id,inflation_rate
2020_01,2.599767976845202
2020_02,2.3413166797595197
2020_03,1.4940399642909163
2020_04,0.3130472940411133
2020_05,0.1982013035848551
2020_06,0.7166562831830481
2020_07,0.9968647625897997
2020_08,1.2810698495523853
2020_09,1.3910228912373812
2020_10,1.2303863428671624
2020_11,1.1757452138405844
2020_12,1.3204191315779434
2021_01,1.3553199782346148
2021_02,1.667502410800381
2021_03,2.623645747764214
2021_04,4.137373453318349
2021_05,4.9264665639830785
2021_06,5.317418943207719
2021_07,5.269167647240969
2021_08,5.181323173271246
2021_09,5.363523425270289
2021_10,6.226591220771449
2021_11,6.865559520296194
2021_12,7.159457345112474
2022_01,7.578082463000535
2022_02,7.949220898953979
2022_03,8.540780148538584
2022_04,8.235161744022502
2022_05,8.530051713089225
2022_06,8.999298141923106
2022_07,8.447778206754553
2022_08,8.216255059541266
2022_09,8.205751582451759
2022_10,7.757261470809462
2022_11,7.131380368978291
2022_12,6.410831677385809
2023_01,6.340296309929161
2023_02,5.957648712766894
2023_03,4.931348641757127
2023_04,4.946947488062325
2023_05,4.125314539356473
2023_06,3.0592533347792994
